Date,Time,Game_ID,Team,Market_Type,Kalshi_Price,Sportsbook_Odds,Implied_Prob,EV_Percent,EV_Dollars,Bet_Amount,Max_Win,Max_Loss,Outcome,Profit_Loss,Notes
2025-09-09,23:14,25SEP14CLEBAL,CLE,Moneyline,13¢,+550,15.4%,+18.3%,$+0.24,$20,$17.40,$2.60,,,"Vol: $36,786"
2025-09-09,23:14,25SEP14CHIDET,CHI,Moneyline,31¢,+190,34.5%,+11.2%,$+0.35,$20,$13.80,$6.20,,,"Vol: $42,110"
2025-09-09,23:14,25SEP14SEAPIT,SEA,Moneyline,41¢,+125,44.4%,+8.4%,$+0.34,$20,$11.80,$8.20,,,"Vol: $12,076"
2025-09-09,23:14,25SEP14NYGDAL,NYG,Moneyline,30¢,+210,32.3%,+7.5%,$+0.23,$20,$14.00,$6.00,,,"Vol: $24,184"
2025-09-09,23:14,25SEP14ATLMIN,ATL,Moneyline,34¢,+175,36.4%,+7.0%,$+0.24,$20,$13.20,$6.80,,,"Vol: $51,949"
2025-09-09,23:14,25SEP14NEMIA,MIA,Moneyline,53¢,-130,56.5%,+6.6%,$+0.35,$20,$9.40,$10.60,,,"Vol: $21,145"
2025-09-09,23:14,25SEP14DENIND,DEN,Moneyline,54¢,-135,57.4%,+6.4%,$+0.34,$20,$9.20,$10.80,,,"Vol: $25,581"
2025-09-09,23:14,25SEP14SFNO,SF,Moneyline,69¢,-275,73.3%,+6.3%,$+0.43,$20,$6.20,$13.80,,,"Vol: $91,611"
2025-09-09,23:14,25SEP14CARARI,CAR,Moneyline,28¢,+240,29.4%,+5.0%,$+0.14,$20,$14.40,$5.60,,,"Vol: $5,369"
2025-09-09,23:14,25SEP14LATEN,LA,Moneyline,71¢,-275,73.3%,+3.3%,$+0.23,$20,$5.80,$14.20,,,"Vol: $20,953"
2025-09-09,23:14,25SEP14JACCIN,JAC,Moneyline,38¢,+155,39.2%,+3.2%,$+0.12,$20,$12.40,$7.60,,,"Vol: $9,235"
2025-09-09,23:14,25SEP14PHIKC,PHI,Moneyline,53¢,-120,54.5%,+2.9%,$+0.15,$20,$9.40,$10.60,,,"Vol: $84,173"
2025-09-09,23:14,25SEP14BUFNYJ,NYJ,Moneyline,27¢,+260,27.8%,+2.9%,$+0.08,$20,$14.60,$5.40,,,"Vol: $30,450"
2025-09-09,23:14,25SEP15LACLV,LAC,Moneyline,64¢,-190,65.5%,+2.4%,$+0.15,$20,$7.20,$12.80,,,"Vol: $100,914"
2025-09-09,23:14,25SEP11WASGB,GB,Moneyline,64¢,-190,65.5%,+2.4%,$+0.15,$20,$7.20,$12.80,,,"Vol: $576,213"
2025-09-09,23:14,25SEP14CLEBAL,BAL,Moneyline,88¢,-900,90.0%,+2.3%,$+0.20,$20,$2.40,$17.60,,,"Vol: $81,851"
2025-09-09,23:14,25SEP15TBHOU,HOU,Moneyline,58¢,-145,59.2%,+2.0%,$+0.12,$20,$8.40,$11.60,,,"Vol: $7,247"
2025-09-09,23:14,25SEP14PHIKC,KC,Moneyline,49¢,+100,50.0%,+2.0%,$+0.10,$20,$10.20,$9.80,,,"Vol: $21,654"
